game,year,month_str,total_jp_size,total_jp_sales
Lotto Max,2012,January,1003000000,51075.96774193549
Lotto Max,2012,February,615000000,50514.86206896549
Lotto Max,2012,March,1210000000,64220.03225806453
Lotto Max,2012,April,749888888.8888888,41896.80574712645
Lotto Max,2012,May,1281000000,63760.483870967735
Lotto Max,2012,June,1433000000,72941.76666666669
Lotto Max,2012,July,931000000,58891.741935483864
Lotto Max,2012,August,1209555555.5555556,58827.318279569896
Lotto Max,2012,September,800000000,42590.16666666665
Lotto Max,2012,October,1550000000,78777.09677419356
Lotto Max,2012,November,1353000000,75102.8
Lotto Max,2012,December,850733333.3333334,46395.15053763442
Lotto Max,2013,January,559777777.7777778,39897.91397849463
Lotto Max,2013,February,549444444.4444444,38393.44230769233
Lotto Max,2013,March,730000000,42670.22580645161
Lotto Max,2013,April,780000000,41961.2
Lotto Max,2013,May,889333333.3333334,49997.55161290324
Lotto Max,2013,June,807000000,41116.4
Lotto Max,2013,July,756511111.1111112,41432.65294771969
Lotto Max,2013,August,594888888.8888888,41294.74623655914
Lotto Max,2013,September,399666666.6666667,32823.82380952381
Lotto Max,2013,October,1289111111.1111112,51521.255839822035
Lotto Max,2013,November,1213000000,55964.40000000001
Lotto Max,2013,December,1466444444.4444444,67507.01865035223
Lotto Max,2014,January,1187488888.8888888,53360.8
Lotto Max,2014,February,1328888888.8888888,56720.55820105821
Lotto Max,2014,March,1367000000,62044.7419354839
Lotto Max,2014,April,780000000,40062.66666666666
Lotto Max,2014,May,859744444.4444444,48998.064516129045
Lotto Max,2014,June,604000000,37002.16666666667
Lotto Max,2014,July,494222222.2222222,35219.51735261402
Lotto Max,2014,August,915000000,44173.806451612894
Lotto Max,2014,September,610444444.4444444,40180.04252873564
Lotto Max,2014,October,520777777.7777778,40376.48387096773
Lotto Max,2014,November,827000000,41466.899999999994
Lotto Max,2014,December,723666666.6666666,38788.0569892473
Lotto Max,2015,January,1186555555.5555556,51655.646236559165
Lotto Max,2015,February,686433333.3333334,42674.028693528686
Lotto Max,2015,March,961733333.3333334,41737.49833147942
Lotto Max,2015,April,1064755555.5555556,44077.45287356322
Lotto Max,2015,May,1549444444.4444444,76279.09032258063
Lotto Max,2015,June,1367000000,60565.16666666667
Lotto Max,2015,July,1375000000,62662.161290322576
Lotto Max,2015,August,843000000,39220.032258064515
Lotto Max,2015,September,1409000000,62889.96666666669
Lotto Max,2015,October,1363522222.2222223,57126.918279569894
Lotto Max,2015,November,1203000000,51888.43333333334
Lotto Max,2015,December,1784333333.3333333,73446.77741935485
Lotto 649,2012,January,308500000,74640.29032258062
Lotto 649,2012,February,211500000,76409.75862068967
Lotto 649,2012,March,198500000,78184.38709677418
Lotto 649,2012,April,243000000,71570.2
Lotto 649,2012,May,409000000,82584.80645161288
Lotto 649,2012,June,473500000,90252.40000000002
Lotto 649,2012,July,232500000,66725.45161290321
Lotto 649,2012,August,364722222.2222222,75193.22903225807
Lotto 649,2012,September,125500000,70086.63333333335
Lotto 649,2012,October,332500000,74943.4193548387
Lotto 649,2012,November,605000000,92789.63333333335
Lotto 649,2012,December,289377777.7777778,75857.81397849463
Lotto 649,2013,January,193466666.66666666,69123.75376344088
Lotto 649,2013,February,310500000,81748.39285714286
Lotto 649,2013,March,400000000,83430.1612903226
Lotto 649,2013,April,679000000,123967.10000000002
Lotto 649,2013,May,228500000,77597.41935483876
Lotto 649,2013,June,245500000,75217.26666666668
Lotto 649,2013,July,236000000,70889.83870967744
Lotto 649,2013,August,180966666.66666666,67980.46666666665
Lotto 649,2013,September,304000000,72203.4
Lotto 649,2013,October,581888888.8888888,86720.98279569893
Lotto 649,2013,November,332000000,70155.93333333336
Lotto 649,2013,December,282144444.4444444,63334.376344086006
Lotto 649,2014,January,200944444.44444445,57093.61397849464
Lotto 649,2014,February,251811111.1111111,60076.214285714275
Lotto 649,2014,March,285000000,62352.54838709679
Lotto 649,2014,April,268000000,62467.60000000001
Lotto 649,2014,May,217922222.2222222,59112.33548387096
Lotto 649,2014,June,291000000,57985.96666666667
Lotto 649,2014,July,236944444.44444445,56205.68064516128
Lotto 649,2014,August,202000000,53290.99999999999
Lotto 649,2014,September,218944444.44444445,53696.03333333331
Lotto 649,2014,October,301000000,61925.16129032254
Lotto 649,2014,November,398000000,64207.56666666667
Lotto 649,2014,December,281800000,68582.72795698921
Lotto 649,2015,January,523811111.1111111,71043.49032258062
Lotto 649,2015,February,192888888.8888889,57862.94708994707
Lotto 649,2015,March,504000000,68348.35483870968
Lotto 649,2015,April,326000000,64885.43333333332
Lotto 649,2015,May,332000000,63383.06451612903
Lotto 649,2015,June,298000000,57505.20000000001
Lotto 649,2015,July,680000000,72988.03225806454
Lotto 649,2015,August,297000000,56504.80645161293
Lotto 649,2015,September,373944444.4444444,61957.13333333335
Lotto 649,2015,October,878000000,94314
Lotto 649,2015,November,378000000,66028
Lotto 649,2015,December,329822222.2222222,65877.46344086019
Lottario,2012,January,20228555.555555556,10047.710191678358
Lottario,2012,February,7227777.777777778,8097.480499066705
Lottario,2012,March,10441333.333333334,8799.121812596008
Lottario,2012,April,13001222.222222222,8991.85684430512
Lottario,2012,May,8131888.888888889,7875.68424163494
Lottario,2012,June,11801222.222222222,8935.192651888337
Lottario,2012,July,26395000,10656.259176863176
Lottario,2012,August,27934777.777777776,11508.246451612904
Lottario,2012,September,7626111.111111111,8181.95960591133
Lottario,2012,October,7870666.666666667,7655.079568740974
Lottario,2012,November,14805888.888888888,9677.969053934577
Lottario,2012,December,8128333.333333333,8137.406989247311
Lottario,2013,January,7923222.222222222,7735.285834502106
Lottario,2013,February,9083777.777777778,8276.006039178212
Lottario,2013,March,23060555.555555556,11775.956511350058
Lottario,2013,April,20632444.444444444,12116.56773399015
Lottario,2013,May,15609222.222222222,10721.141397849464
Lottario,2013,June,17693000,11241.003703703702
Lottario,2013,July,14019444.444444444,9653.491935483871
Lottario,2013,August,33140666.666666668,14223.219354838711
Lottario,2013,September,8960222.222222222,9138.8960292581
Lottario,2013,October,11356111.111111112,9535.391039426526
Lottario,2013,November,7480555.555555556,8724.892380952384
Lottario,2013,December,8343444.444444444,8219.853047341978
Lottario,2014,January,8254222.222222222,8154.747507331376
Lottario,2014,February,12132000,9375.069444444449
Lottario,2014,March,7725000,7927.409032258065
Lottario,2014,April,7477777.777777778,7764.47528735632
Lottario,2014,May,7716666.666666667,7936.0597330367045
Lottario,2014,June,8803444.444444444,7484.565476190482
Lottario,2014,July,7711111.111111111,7314.159645983461
Lottario,2014,August,12672000,8184.486021505374
Lottario,2014,September,17823666.666666668,9595.077914614121
Lottario,2014,October,11357444.444444444,9082.580562765212
Lottario,2014,November,24906555.555555556,11332.692857142853
Lottario,2014,December,13964888.888888888,9796.95513196481
Lottario,2015,January,14726000,9620.42158808933
Lottario,2015,February,8927222.222222222,8694.458828208828
Lottario,2015,March,23353888.888888888,10628.209677419354
Lottario,2015,April,11534222.222222222,9370.041879060469
Lottario,2015,May,12116777.777777778,9323.658212829072
Lottario,2015,June,12376333.333333334,9063.582758620692
Lottario,2015,July,9710222.222222222,8539.591811414388
Lottario,2015,August,18257000,9651.640711902115
Lottario,2015,September,35410444.44444445,12434.934993614303
Lottario,2015,October,11507777.777777778,9674.395913978493
Lottario,2015,November,10587222.222222222,11323.996040868455
Lottario,2015,December,11571666.666666666,12131.735409714503
